decathlon men,rio 2016,Kai Kazmirek,GER,4.,8580
decathlon men,rio 2016,Larbi Bourrada,ALG,5.,8521
decathlon men,rio 2016,Leonel Suarez,CUB,6.,8460
decathlon men,rio 2016,Zach Ziemek,USA,7.,8392
decathlon men,rio 2016,Thomas Van Der Plaetsen,BEL,8.,8332
decathlon men,rio 2016,Kurt Felix,GRN,9.,8323
decathlon men,rio 2016,Luiz Alberto De Araujo,BRA,10.,8315
decathlon men,rio 2016,Jeremy Taiwo,USA,11.,8300
decathlon men,rio 2016,Adam Sebastian Helcelet,CZE,12.,8291
decathlon men,rio 2016,Bastien Auzeil,FRA,13.,8064
decathlon men,rio 2016,Cedric Dubler,AUS,14.,8024
decathlon men,rio 2016,Arthur Abele,GER,15.,8013
decathlon men,rio 2016,Lindon Victor,GRN,16.,7998
decathlon men,rio 2016,Pau Tonnesen,ESP,17.,7982
decathlon men,rio 2016,Yordani Garcia,CUB,18.,7961
decathlon men,rio 2016,Dominik Distelberger,AUT,19.,7954
decathlon men,rio 2016,Keisuke Ushiro,JPN,20.,7952
decathlon men,rio 2016,Pawel Wiesiolek,POL,21.,7784
decathlon men,rio 2016,Akihiko Nakamura,JPN,22.,7612
decathlon men,rio 2016,Karl Robert Saluri,EST,23.,7223
decathlon men,rio 2016,Maicel Uibo,EST,24.,7170
decathlon men,rio 2016,Jiri Sykora 1,CZE,25.,6237
discus throw men,rio 2016,Christoph Harting,GER,1.,68.37
discus throw men,rio 2016,Piotr Malachowski,POL,2.,67.55
discus throw men,rio 2016,Daniel Jasinski,GER,3.,67.05
discus throw men,rio 2016,Martin Kupper,EST,4.,66.58
discus throw men,rio 2016,Gerd Kanter,EST,5.,65.10
discus throw men,rio 2016,Lukas Weisshaidinger,AUT,6.,64.95
discus throw men,rio 2016,Zoltan Kovago,HUN,7.,64.50
discus throw men,rio 2016,Apostolos Parellis,CYP,8.,63.72
discus throw men,rio 2016,Philip Milanov,BEL,9.,62.22
discus throw men,rio 2016,Axel Harstedt,SWE,10.,62.12
discus throw men,rio 2016,Mason Finley,USA,11.,62.05
discus throw men,rio 2016,Andrius Gudzius,LTU,12.,60.66
hammer throw men,rio 2016,Dilshod Nazarov,TJK,1.,78.68
hammer throw men,rio 2016,Ivan Tsikhan,BLR,2.,77.79
hammer throw men,rio 2016,Wojciech Nowicki,POL,3.,77.73
hammer throw men,rio 2016,Diego Del Real,MEX,4.,76.05
hammer throw men,rio 2016,Marcel Lomnicky,SVK,5.,75.97
hammer throw men,rio 2016,Ashraf Amgad Elseify,QAT,6.,75.46
hammer throw men,rio 2016,Krisztian Pars,HUN,7.,75.28
hammer throw men,rio 2016,David Soderberg,FIN,8.,74.61
hammer throw men,rio 2016,Siarhei Kalamoyets,BLR,9.,74.22
hammer throw men,rio 2016,Serghei Marghiev,MDA,10.,74.14
hammer throw men,rio 2016,Yevhen Vynohradov,UKR,11.,74.11
hammer throw men,rio 2016,Wagner Domingos,BRA,12.,72.28
high jump men,rio 2016,Derek Drouin,CAN,1.,2.38
high jump men,rio 2016,Mutaz Essa Barshim,QAT,2.,2.36
high jump men,rio 2016,Bohdan Bondarenko,UKR,3.,2.33
high jump men,rio 2016,Robert Grabarz,GBR,4.,2.33
high jump men,rio 2016,Andriy Protsenko,UKR,4.,2.33
high jump men,rio 2016,Erik Kynard,USA,6.,2.33
high jump men,rio 2016,Majd Eddin Ghazal,SYR,7.,2.29
high jump men,rio 2016,Donald Thomas 1,BAH,7.,2.29
high jump men,rio 2016,Kyriakos Ioannou,CYP,7.,2.29
